State,Utility Name,EIA_table,electric ID,gas ID,EIA_Name,EIA_state,notes
Massachusetts,Nantucket Electric Company,electric,13206,#N/A,NANTUCKET ELECTRIC CO,MA,
Massachusetts,Natucket Electric Company,,#N/A,#N/A,,,close duplicate: Nantucket Electric Company
Massachusetts,New England Natural Gas Company,,#N/A,#N/A,,,
Massachusetts,Nstar Electric Company - Eastern MA,,#N/A,#N/A,,,possible match:  electric MA  NSTAR ELECTRIC COMPANY
Massachusetts,Nstar Electric Company - Western MA,,#N/A,#N/A,,,possible match:  electric MA  NSTAR ELECTRIC COMPANY
Massachusetts,Nstar Gas Company,gas,#N/A,LDC250009MA,NSTAR GAS COMPANY,MA,
Massachusetts,The Berkshire Gas Company,,#N/A,#N/A,,,close duplicate: Berkshire Gas Company
Massachusetts,Unitil,,#N/A,#N/A,,,possible match:  electric(NH) and gas(MA)  FITCHBURG GAS & ELEC LIGHT CO
Michigan,Consumers Energy,electric,4254,#N/A,CONSUMERS ENERGY CO,MI,
Michigan,DTE Energy,electric,5109,#N/A,DTE ELECTRIC COMPANY,MI,
Michigan,Semco Energy Gas Co,gas,#N/A,LDC260008MI,SEMCO ENERGY GAS COMPANY,MI,
Minnesota,CenterPoint Energy,,#N/A,#N/A,,,possible match:  electric TX CENTERPOINT ENERGY
Minnesota,CenterPoint Energy - Gas,,#N/A,#N/A,,,possible match: gasTX multiple CENTERPOINT ENERGY
Minnesota,Dakota Electric Association,electric,25177,#N/A,DAKOTA ELECTRIC ASSOCIATION,MN,
Minnesota,Great Plains Natural Gas Company,gas,#N/A,LDC270021MN,GREAT PLAINS NATURAL GAS,MN,multiple
Minnesota,Greater Minnesota Gas,gas,#N/A,LDC270031MN,GREATER MINNESOTA GAS INC.,MN,
Minnesota,Minnesota Energy Resource Corporation,,#N/A,#N/A,,,close duplicate: Minnesota Energy Resources
Minnesota,Minnesota Energy Resources,gas,#N/A,LDC270030MN,MINNESOTA ENERGY RESOURCES,MN,
Minnesota,Minnesota Power,,#N/A,#N/A,,,possible match: electric MN ALLETE< INC
Minnesota,"Minnesota Power (Allete, Inc)",electric,12647,#N/A,"ALLETE, INC.",MN,
Minnesota,Northern States Power Company,electric,13780,LDC270011MN,NORTHERN STATES POWER CO,MN,
Minnesota,Northwestern Wisconsin Electric,electric,13815,#N/A,NORTHWESTERN WISCONSIN ELEC CO,WI,
Minnesota,Otter Tail Power Company,electric,14232,#N/A,OTTER TAIL POWER CO,MN,
Minnesota,Xcel Energy,,#N/A,#N/A,,,possible match:  electric MN NORTHERN STATES POWER CO - MINNESOTA
Missouri,Ameren Missouri,,#N/A,#N/A,,,possible match:  electric MO UNION ELECTRIC CO - (MO)
Missouri,Empire,gas,#N/A,LDC290037MO,EMPIRE GAS DISTRICT,MO,
Missouri,Evergy Metro,electric,10000,#N/A,EVERGY METRO,KS,
Missouri,Evergy West,electric,12698,#N/A,EVERGY MISSOURI WEST,MO,
Missouri,Liberty,,#N/A,#N/A,,,multiple possible matches in electric and gas
Missouri,Spire,,#N/A,#N/A,,,
Missouri,Summit,,#N/A,#N/A,,,multiple possiblel in gas
New Hampshire,EnergyNorth Natural Gas,,#N/A,#N/A,,,possible match:  gas AZ  LIBERTY UTILITIES (ENERGYNORTH)
New Hampshire,Eversource New Hampshire,,#N/A,#N/A,,,possible match:  electric NH  PUBLIC SERVICE CO OF NH
New Hampshire,Granite State Electric,,#N/A,#N/A,,,close duplicate: NH  Liberty Utilities 
New Hampshire,Liberty Utilities,electric,26510,#N/A,LIBERTY UTILITIES (GRANITE STATE ELECTRI,NH,
New Hampshire,Northern Utilities,,#N/A,#N/A,,,possible match:  gas ME  NORTHERN UTILITIES INC. (UNITIL)
New Hampshire,Unitil Energy Systems,electric,24590,#N/A,UNITIL ENERGY SYSTEMS,NH,
New Jersey,Public Service Electric and Gas Company,electric,15477,#N/A,PUBLIC SERVICE ELEC & GAS CO,NJ,
New Mexico,El Paso Electric Company,electric,5701,#N/A,EL PASO ELECTRIC CO,TX,
New Mexico,"New Mexico Gas Company, Inc",gas,#N/A,LDC350006NM,NEW MEXICO GAS COMPANY,NM,
New Mexico,Public Service Company of New Mexico,electric,15473,#N/A,PUBLIC SERVICE CO OF NM,NM,
New Mexico,Southwestern Public Service Company,electric,17718,#N/A,SOUTHWESTERN PUBLIC SERVICE CO,TX,
New Mexico,Zia Natural Gas Company,gas,#N/A,LDC350011NM,ZIA NATURAL GAS COMPANY,NM,
New York,Central Hudson Gas & Electric Corporation,electric,3249,#N/A,CENTRAL HUDSON GAS & ELEC CORP,NY,
New York,Consolidated Edison Company of New York,,#N/A,#N/A,,,"close duplicate:  Consolidated Edison Company of New York, Inc"
