state,utility_clean_names,service_type,utility_type,year,month,number_of_customers_total,number_of_disconnections,number_of_reconnections,disconnection_rate,reconnection_rate,State,Utility Name,Year,Month,Total Disconnections,Total Connections,Disconnection Rate
Alabama,City of Dothan,Electric,Muni,2014,December,25495,643,445,0.0252206314963718,0.0174544028240832,Alabama,City of Dothan,2014,December,643,25495,0.0252206314963718
Alabama,City of Dothan,Electric,Muni,2015,January,25270,1167,611,0.0461812425801346,0.0241788682231896,Alabama,City of Dothan,2015,January,1167,25270,0.0461812425801346
Alabama,City of Dothan,Electric,Muni,2015,February,25198,930,522,0.0369076910865942,0.0207159298357012,Alabama,City of Dothan,2015,February,930,25198,0.0369076910865942
Alabama,City of Dothan,Electric,Muni,2015,March,25313,1152,663,0.0455102121439577,0.0261920752182673,Alabama,City of Dothan,2015,March,1152,25313,0.0455102121439577
Alabama,City of Dothan,Electric,Muni,2015,April,25243,1159,740,0.0459137186546766,0.0293150576397417,Alabama,City of Dothan,2015,April,1159,25243,0.0459137186546766
Alabama,City of Dothan,Electric,Muni,2015,May,25224,705,420,0.0279495718363463,0.016650808753568,Alabama,City of Dothan,2015,May,705,25224,0.0279495718363463
Alabama,City of Dothan,Electric,Muni,2015,June,25398,834,449,0.0328372312780534,0.0176785573667218,Alabama,City of Dothan,2015,June,834,25398,0.0328372312780534
Alabama,City of Dothan,Electric,Muni,2015,July,25393,965,515,0.0380025991414957,0.0202811798527153,Alabama,City of Dothan,2015,July,965,25393,0.0380025991414957
Alabama,City of Dothan,Electric,Muni,2015,August,25579,1247,755,0.0487509284960319,0.0295164001720161,Alabama,City of Dothan,2015,August,1247,25579,0.0487509284960319
Alabama,City of Dothan,Electric,Muni,2015,September,25587,1630,898,0.0637042248016571,0.0350959471606675,Alabama,City of Dothan,2015,September,1630,25587,0.0637042248016571
Alabama,City of Dothan,Electric,Muni,2015,October,25396,1359,704,0.0535123641518349,0.0277209009292802,Alabama,City of Dothan,2015,October,1359,25396,0.0535123641518349
Alabama,City of Dothan,Electric,Muni,2015,November,25281,895,540,0.0354020806138998,0.0213599145603418,Alabama,City of Dothan,2015,November,895,25281,0.0354020806138998
Alabama,City of Dothan,Electric,Muni,2015,December,25359,871,482,0.0343467802358137,0.0190070586379589,Alabama,City of Dothan,2015,December,871,25359,0.0343467802358137
Alabama,City of Dothan,Electric,Muni,2016,January,25357,774,422,0.0305241156288204,0.0166423472808298,Alabama,City of Dothan,2016,January,774,25357,0.0305241156288204
