State,Utility Name,Utility Type,Service Type,Year,Month,Total Disconnections,Total Reconnections,Total Connections,Disconnection Rate
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2020,September,,,823,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2020,October,,,823,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2020,November,,,823,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2020,December,,,823,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2021,January,0,,835,0
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2021,February,5,,835,0.005988024
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2021,March,3,,835,0.003592814
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2021,April,3,,835,0.003592814
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2021,May,0,,835,0
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2021,June,0,,835,0
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2021,July,0,,835,0
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2021,August,0,,835,0
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2021,September,0,,835,0
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2021,October,5,,835,0.005988024
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2021,November,5,,835,0.005988024
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2021,December,4,,835,0.004790419
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2022,January,4,,824,0.004854369
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2022,February,3,,824,0.003640777
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2022,March,5,,824,0.006067961
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2022,April,,,824,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2022,May,,,824,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2022,June,,,824,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2022,July,,,824,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2022,August,,,824,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2022,September,,,824,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2022,October,,,824,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2020,January,614,,1150194,0.000533823
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2020,February,,,1150194,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2020,March,,,1150194,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2020,April,,,1150194,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2020,May,,,1150194,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2020,June,,,1150194,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2020,July,,,1150194,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2020,August,,,1150194,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2020,September,,,1150194,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2020,October,,,1150194,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2020,November,,,1150194,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2020,December,,,1150194,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2021,January,0,,1177343,0
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2021,February,6278,,1177343,0.005332346
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2021,March,3929,,1177343,0.003337175
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2021,April,3460,,1177343,0.002938821
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2021,May,960,,1177343,0.000815395
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2021,June,0,,1177343,0
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2021,July,0,,1177343,0
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2021,August,0,,1177343,0
