"","State","Utility Name","Year","Month","Total Connections","Total Disconnections","Disconnection Rate"
"75","CA","SDG&E",2021,"August",0,1323922,0
"76","CA","SDG&E",2021,"December",0,1331514,0
"77","CA","SDG&E",2021,"February",0,1326463,0
"78","CA","SDG&E",2021,"January",0,1326214,0
"79","CA","SDG&E",2021,"July",0,1322432,0
"80","CA","SDG&E",2021,"June",0,1325544,0
"81","CA","SDG&E",2021,"March",0,1328500,0
"82","CA","SDG&E",2021,"May",0,1324001,0
"83","CA","SDG&E",2021,"November",0,1327020,0
"84","CA","SDG&E",2021,"October",0,1325918,0
"85","CA","SDG&E",2021,"September",0,1325146,0
"86","CA","SDG&E",2022,"April",0,1333610,0
"87","CA","SDG&E",2022,"February",0,1332464,0
"88","CA","SDG&E",2022,"January",0,1332007,0
"89","CA","SDG&E",2022,"March",0,1333191,0
"90","CA","SDG&E",2022,"May",0,1334319,0
"91","CA","SoCalEdison",2018,"August",37034,4417509,0.838345773602272
"92","CA","SoCalEdison",2018,"December",19484,4427132,0.440104338429484
"93","CA","SoCalEdison",2018,"November",40143,4427589,0.906655970100206
"94","CA","SoCalEdison",2018,"October",56244,4420615,1.27231165799329
"95","CA","SoCalEdison",2018,"September",40455,4417963,0.915693499470231
"96","CA","SoCalEdison",2019,"April",43278,4547338,0.951721644619336
"97","CA","SoCalEdison",2019,"August",28695,4590229,0.625132210179492
"98","CA","SoCalEdison",2019,"December",24063,4556265,0.528129948543379
"99","CA","SoCalEdison",2019,"February",27569,4527496,0.608923784802902
"100","CA","SoCalEdison",2019,"January",36260,4524684,0.801381930760247
"101","CA","SoCalEdison",2019,"July",23973,4585925,0.522751680413439
"102","CA","SoCalEdison",2019,"June",20948,4562299,0.459154474531371
"103","CA","SoCalEdison",2019,"March",41514,4537339,0.914941554951041
"104","CA","SoCalEdison",2019,"May",37562,4552833,0.825024770291377
"105","CA","SoCalEdison",2019,"November",39346,4556410,0.863530718262843
"106","CA","SoCalEdison",2019,"October",46788,4570780,1.02363272789327
"107","CA","SoCalEdison",2019,"September",33407,4565449,0.731735257583646
"108","CA","SoCalEdison",2020,"April",0,4558705,0
"109","CA","SoCalEdison",2020,"August",0,4596387,0
"110","CA","SoCalEdison",2020,"December",0,4580636,0
"111","CA","SoCalEdison",2020,"February",32819,4563008,0.719240465938258
"112","CA","SoCalEdison",2020,"January",19812,4560574,0.434419000766132
"113","CA","SoCalEdison",2020,"July",0,4593440,0
"114","CA","SoCalEdison",2020,"June",0,4581273,0
"115","CA","SoCalEdison",2020,"March",16315,4579502,0.356261445021751
"116","CA","SoCalEdison",2020,"May",0,4562360,0
"117","CA","SoCalEdison",2020,"November",0,4570002,0
"118","CA","SoCalEdison",2020,"October",0,4580537,0
"119","CA","SoCalEdison",2020,"September",0,4588019,0
"120","CA","SoCalEdison",2021,"April",0,4456734,0
"121","CA","SoCalEdison",2021,"August",0,4469650,0
"122","CA","SoCalEdison",2021,"December",0,4491053,0
"123","CA","SoCalEdison",2021,"February",0,4577057,0
"124","CA","SoCalEdison",2021,"January",0,4578893,0
"125","CA","SoCalEdison",2021,"July",0,4468023,0
"126","CA","SoCalEdison",2021,"June",0,4463117,0
"127","CA","SoCalEdison",2021,"March",0,4580418,0
"128","CA","SoCalEdison",2021,"May",0,4465054,0
"129","CA","SoCalEdison",2021,"November",0,4479396,0
"130","CA","SoCalEdison",2021,"October",0,4482476,0
"131","CA","SoCalEdison",2021,"September",0,4475058,0
"132","CA","SoCalEdison",2022,"April",0,4530678,0
"133","CA","SoCalEdison",2022,"February",0,4531142,0
"134","CA","SoCalEdison",2022,"January",0,4527295,0
"135","CA","SoCalEdison",2022,"March",0,4529894,0
"136","CA","SoCalEdison",2022,"May",0,4538203,0
"137","CA","SoCalGas",2018,"December",5310,5586354,0.0950530524918399
"138","CA","SoCalGas",2018,"November",7787,5581041,0.139525941486543
"139","CA","SoCalGas",2018,"October",11646,5577220,0.208813710056265
"140","CA","SoCalGas",2019,"April",9760,5605112,0.174126761427782
"141","CA","SoCalGas",2019,"August",8604,5606533,0.153463825148269
"142","CA","SoCalGas",2019,"December",3932,5622767,0.0699299828714226
"143","CA","SoCalGas",2019,"February",8106,5599420,0.144764993517186
"144","CA","SoCalGas",2019,"January",7556,5593419,0.135087323156016
"145","CA","SoCalGas",2019,"July",7692,5604623,0.137243843163046
"146","CA","SoCalGas",2019,"June",4507,5606238,0.0803925912528152
"147","CA","SoCalGas",2019,"March",10199,5603307,0.182017512158445
"148","CA","SoCalGas",2019,"May",9322,5606077,0.166283838056452
"149","CA","SoCalGas",2019,"November",5390,5617274,0.0959540161295319
"150","CA","SoCalGas",2019,"October",8738,5615272,0.15561133993153
"151","CA","SoCalGas",2019,"September",8204,5609237,0.146258751413071
"152","CA","SoCalGas",2020,"April",0,5637676,0
"153","CA","SoCalGas",2020,"August",0,5644703,0
"154","CA","SoCalGas",2020,"December",0,5655004,0
"155","CA","SoCalGas",2020,"February",7018,5631405,0.124622540911194
"156","CA","SoCalGas",2020,"January",5781,5628216,0.102714607968138
"157","CA","SoCalGas",2020,"July",0,5643229,0
"158","CA","SoCalGas",2020,"June",0,5642221,0
"159","CA","SoCalGas",2020,"March",3469,5634865,0.0615631430389193
"160","CA","SoCalGas",2020,"May",0,5640114,0
"161","CA","SoCalGas",2020,"November",0,5649951,0
"162","CA","SoCalGas",2020,"October",0,5647633,0
"163","CA","SoCalGas",2020,"September",0,5645997,0
