State,Month,Year,Total Disconnections,Total Connections,Disconnection Rate
Iowa,April,2021,6192.0,600000.0,0.061919999999999996
Iowa,August,2020,1905.0,600000.0,0.01905
Iowa,August,2021,3055.0,600000.0,0.03055
Iowa,December,2020,2019.0,600000.0,0.02019
Iowa,December,2021,919.0,600000.0,0.009190000000000002
Iowa,February,2020,701.0,600000.0,0.00701
Iowa,February,2021,480.0,600000.0,0.0048000000000000004
Iowa,January,2020,1128.0,600000.0,0.01128
Iowa,January,2021,447.0,600000.0,0.00447
Iowa,July,2020,2406.0,600000.0,0.024060000000000005
Iowa,July,2021,3066.0,600000.0,0.030660000000000003
Iowa,June,2020,0.0,600000.0,0.0
Iowa,June,2021,4944.0,600000.0,0.04944
Iowa,March,2020,1238.0,600000.0,0.012379999999999999
Iowa,March,2021,3108.0,600000.0,0.03108
Iowa,May,2020,0.0,600000.0,0.0
Iowa,May,2021,4416.0,600000.0,0.04416
Iowa,November,2020,2348.0,600000.0,0.023480000000000004
Iowa,November,2021,719.0,600000.0,0.00719
Iowa,October,2020,7342.0,600000.0,0.07342
Iowa,October,2021,4259.0,600000.0,0.04259
Iowa,September,2020,3515.0,600000.0,0.03515000000000001
Iowa,September,2021,5997.0,600000.0,0.05997
Kansas,April,2020,0.0,100000.0,0.0
Kansas,April,2021,0.0,100000.0,0.0
Kansas,August,2020,0.0,100000.0,0.0
Kansas,August,2021,250.0,100000.0,0.0025
Kansas,December,2020,0.0,100000.0,0.0
Kansas,December,2021,0.0,100000.0,0.0
Kansas,February,2020,0.0,100000.0,0.0
Kansas,February,2021,0.0,100000.0,0.0
Kansas,January,2020,0.0,100000.0,0.0
Kansas,January,2021,0.0,100000.0,0.0
Kansas,July,2020,0.0,100000.0,0.0
Kansas,July,2021,218.0,100000.0,0.00218
Kansas,June,2020,0.0,100000.0,0.0
Kansas,June,2021,0.0,100000.0,0.0
Kansas,March,2020,21.0,100000.0,0.00021
Kansas,March,2021,0.0,100000.0,0.0
Kansas,May,2020,0.0,100000.0,0.0
Kansas,May,2021,0.0,100000.0,0.0
Kansas,November,2020,0.0,100000.0,0.0
Kansas,November,2021,3.0,100000.0,3e-05
Kansas,October,2020,0.0,100000.0,0.0
Kansas,October,2021,127.0,100000.0,0.00127
Kansas,September,2020,0.0,100000.0,0.0
Kansas,September,2021,113.0,100000.0,0.00113
Kentucky,April,2020,0.0,700000.0,0.0
Kentucky,April,2021,1960.0,700000.0,0.0196
Kentucky,August,2020,0.0,700000.0,0.0
Kentucky,December,2020,1189.0,700000.0,0.011890000000000001
Kentucky,February,2020,14317.0,700000.0,0.14317000000000002
Kentucky,February,2021,975.0,700000.0,0.009750000000000002
Kentucky,January,2020,14123.0,700000.0,0.14123
Kentucky,January,2021,1821.0,700000.0,0.01821
Kentucky,July,2020,0.0,700000.0,0.0
Kentucky,June,2020,0.0,700000.0,0.0
Kentucky,June,2021,9175.0,700000.0,0.09175
Kentucky,March,2020,6650.0,700000.0,0.0665
Kentucky,March,2021,2920.0,700000.0,0.0292
Kentucky,May,2020,0.0,700000.0,0.0
Kentucky,May,2021,2337.0,700000.0,0.023370000000000002
Kentucky,November,2020,5.0,700000.0,5e-05
Kentucky,October,2020,0.0,700000.0,0.0
Kentucky,September,2020,0.0,700000.0,0.0
Maine,April,2020,0.0,600000.0,0.0
Maine,August,2020,0.0,600000.0,0.0
Maine,December,2020,1.0,600000.0,1e-05
Maine,February,2020,0.0,600000.0,0.0
Maine,January,2020,1.0,600000.0,1e-05
Maine,July,2020,0.0,600000.0,0.0
Maine,June,2020,0.0,600000.0,0.0
Maine,March,2020,0.0,600000.0,0.0
Maine,May,2020,0.0,600000.0,0.0
Maine,November,2020,0.0,600000.0,0.0
Maine,October,2020,0.0,600000.0,0.0
Maine,September,2020,0.0,600000.0,0.0
Maryland,April,2020,0.0,900000.0,0.0
Maryland,April,2021,5678.0,800000.0,0.05677999999999999
Maryland,August,2020,0.0,900000.0,0.0
Maryland,August,2021,6511.0,800000.0,0.06511
Maryland,December,2020,91.0,800000.0,0.00091
Maryland,December,2021,4115.0,800000.0,0.04115
Maryland,February,2020,6043.0,900000.0,0.06043
Maryland,February,2021,582.0,800000.0,0.00582
Maryland,January,2020,6803.0,900000.0,0.06803000000000001
Maryland,January,2021,490.0,800000.0,0.0049
Maryland,July,2020,0.0,900000.0,0.0
Maryland,July,2021,5996.0,800000.0,0.059960000000000006
Maryland,June,2020,0.0,900000.0,0.0
Maryland,June,2021,7421.0,800000.0,0.07421000000000001
Maryland,March,2020,4193.0,900000.0,0.04193000000000001
Maryland,March,2021,1252.0,800000.0,0.01252
Maryland,May,2020,0.0,900000.0,0.0
Maryland,May,2021,6248.0,800000.0,0.062479999999999994
Maryland,November,2020,116.0,800000.0,0.00116
Maryland,November,2021,5159.0,800000.0,0.051590000000000004
Maryland,October,2020,189.0,800000.0,0.00189
Maryland,October,2021,6826.0,800000.0,0.06826
Maryland,September,2020,0.0,900000.0,0.0
Maryland,September,2021,5754.0,800000.0,0.05754000000000001
Massachusetts,April,2020,0.0,1200000.0,0.0
Massachusetts,April,2021,0.0,1200000.0,0.0
Massachusetts,August,2020,0.0,1200000.0,0.0
Massachusetts,August,2021,6408.0,1200000.0,0.06407999999999998
Massachusetts,December,2020,0.0,1200000.0,0.0
Massachusetts,December,2021,926.0,1200000.0,0.00926
Massachusetts,February,2020,1943.0,1200000.0,0.01943
Massachusetts,February,2021,0.0,1200000.0,0.0
Massachusetts,January,2020,1791.0,1200000.0,0.017910000000000002
Massachusetts,January,2021,0.0,1200000.0,0.0
Massachusetts,July,2020,0.0,1200000.0,0.0
Massachusetts,July,2021,3572.0,1200000.0,0.03572
Massachusetts,June,2020,0.0,1200000.0,0.0
Massachusetts,June,2021,0.0,1200000.0,0.0
