"","State","Utility Name","Year","Month","Total Connections","Total Disconnections","Disconnection Rate","cbd"
"396","IA","amana_electric_only",2013,"October",0,708,0,NA
"397","IA","amana_electric_only",2014,"April",0,708,0,NA
"398","IA","amana_electric_only",2014,"August",0,710,0,NA
"399","IA","amana_electric_only",2014,"December",NA,NA,NA,NA
"400","IA","amana_electric_only",2014,"February",0,708,0,NA
"401","IA","amana_electric_only",2014,"January",0,708,0,NA
"402","IA","amana_electric_only",2014,"July",0,709,0,NA
"403","IA","amana_electric_only",2014,"June",0,708,0,NA
"404","IA","amana_electric_only",2014,"March",0,708,0,NA
"405","IA","amana_electric_only",2014,"May",0,708,0,NA
"406","IA","amana_electric_only",2014,"November",NA,NA,NA,NA
"407","IA","amana_electric_only",2014,"October",NA,NA,NA,NA
"408","IA","amana_electric_only",2014,"September",1,710,0.140845070422535,NA
"409","IA","amana_electric_only",2015,"April",NA,NA,NA,NA
"410","IA","amana_electric_only",2015,"August",NA,NA,NA,NA
"411","IA","amana_electric_only",2015,"February",NA,NA,NA,NA
"412","IA","amana_electric_only",2015,"January",NA,NA,NA,NA
"413","IA","amana_electric_only",2015,"July",NA,NA,NA,NA
"414","IA","amana_electric_only",2015,"June",NA,NA,NA,NA
"415","IA","amana_electric_only",2015,"March",NA,NA,NA,NA
"416","IA","amana_electric_only",2015,"May",NA,NA,NA,NA
"417","IA","amana_electric_only",2015,"September",NA,NA,NA,NA
"418","IA","black_hills_energy_f_k_a_aquila_gas_only",2013,"December",33,137525,0.0239956371568806,NA
"419","IA","black_hills_energy_f_k_a_aquila_gas_only",2013,"November",95,136510,0.069591971284155,NA
"420","IA","black_hills_energy_f_k_a_aquila_gas_only",2013,"October",267,135416,0.197170201453299,NA
"421","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"April",839,138192,0.607126317008221,NA
"422","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"August",493,135819,0.36298308778595,NA
"423","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"December",54,138503,0.0389883251626319,NA
"424","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"February",125,137807,0.0907065678811671,NA
"425","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"January",73,137777,0.0529841700719278,NA
"426","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"July",872,136313,0.639704210163374,NA
"427","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"June",998,136954,0.728711830249573,NA
"428","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"March",85,138032,0.0615799234960009,NA
"429","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"May",795,137524,0.578080916785434,NA
"430","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"November",84,137122,0.0612593165210542,NA
"431","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"October",797,136154,0.585366570207265,NA
"432","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"September",858,135726,0.632155961274921,NA
"433","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"April",1641,138674,1.18335088048228,NA
"434","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"August",526,136756,0.384626634297581,NA
"435","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"December",54,139205,0.0387917100678855,NA
"436","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"February",93,138525,0.0671358960476448,NA
"437","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"January",241,138354,0.174190843777556,NA
"438","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"July",677,137040,0.494016345592528,NA
"439","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"June",830,137640,0.603022377215926,NA
"440","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"March",456,138851,0.328409590136189,NA
"441","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"May",1120,137949,0.811894250773837,NA
"442","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"November",83,137792,0.0602357176033442,NA
"443","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"October",420,136960,0.306658878504673,NA
"444","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"September",539,136814,0.393965529843437,NA
"445","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"April",659,139735,0.471606970336709,NA
"446","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"August",531,138168,0.3843147472642,NA
"447","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"December",20,140007,0.0142850000357125,NA
"448","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"February",247,139364,0.177233718894406,NA
"449","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"January",69,139136,0.0495917663293468,NA
"450","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"July",494,138371,0.35701122345,NA
"451","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"June",853,138969,0.613805956724161,NA
"452","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"March",404,139697,0.289197334230513,NA
"453","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"May",896,139265,0.643377733098769,NA
"454","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"November",156,138911,0.112302121502257,NA
"455","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"October",230,138047,0.166609922707484,NA
"456","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"September",378,137984,0.273944805194805,NA
"457","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"April",631,140520,0.449046399089098,NA
"458","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"August",644,139218,0.462583861282305,NA
"459","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"December",23,141276,0.0162801891333277,NA
"460","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"February",114,140423,0.0811832819409926,NA
"461","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"January",114,140423,0.0811832819409926,NA
"462","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"July",467,139411,0.334980740400686,NA
