,zipcode,Number of Disconnections,lat,lon
1098,90723,14,33.898883,-118.166629
1099,91307,14,34.200834,-118.6649
1100,92677,14,33.528868,-117.701175
1101,93245,14,36.29227,-119.829463
1102,93263,14,35.492805,-119.286861
1103,93436,14,34.595669,-120.352667
1104,90005,13,34.059163,-118.306892
1105,90024,13,34.065723,-118.434969
1106,90035,13,34.051809,-118.383674
1107,90069,13,34.093828,-118.381697
1108,91311,13,34.293338,-118.603118
1109,91384,13,34.506627,-118.699048
1110,92501,13,33.99504,-117.373184
1111,92606,13,33.705442,-117.8236
1112,92660,13,33.634626,-117.874882
1113,93033,13,34.150212,-119.127729
1114,93257,13,35.988087,-118.860221
1115,93536,13,34.74739,-118.369249
1116,90063,12,34.045105,-118.185914
1117,90304,12,33.937886,-118.358559
1118,91203,12,34.153338,-118.262974
1119,91205,12,34.13658,-118.245839
1120,91604,12,34.140822,-118.392864
1121,91763,12,34.072329,-117.698315
1122,91789,12,34.018195,-117.854821
1123,92405,12,34.144618,-117.301301
1124,92408,12,34.083458,-117.270016
1125,92506,12,33.934335,-117.367319
1126,92509,12,34.003266,-117.442004
1127,92692,12,33.606497,-117.643112
1128,93422,12,35.463544,-120.692911
1129,93618,12,36.521012,-119.389446
1130,90039,11,34.111885,-118.261033
1131,90305,11,33.95889,-118.330548
1132,90621,11,33.874224,-117.993368
1133,90631,11,33.942708,-117.952483
1134,91505,11,34.173885,-118.346937
1135,91790,11,34.066964,-117.937007
1136,92251,11,32.881449,-115.675459
1137,92505,11,33.936193,-117.493881
1138,92583,11,33.795196,-116.932856
1139,92683,11,33.752468,-117.993933
1140,93291,11,36.391777,-119.372842
1141,93458,11,34.95934,-120.490081
1142,90033,10,34.05038,-118.211991
1143,90048,10,34.072924,-118.37271
1144,90059,10,33.926262,-118.249883
1145,91107,10,34.155533,-118.086178
1146,91501,10,34.2044,-118.287527
1147,91606,10,34.185767,-118.388323
1148,91724,10,34.080444,-117.854734
1149,92262,10,33.860925,-116.566176
1150,92277,10,34.141358,-115.621168
1151,92544,10,33.648169,-116.895308
1152,92831,10,33.879768,-117.89634
1153,92832,10,33.868649,-117.929055
1154,92870,10,33.881158,-117.854783
1155,92879,10,33.882614,-117.528204
1156,92882,10,33.840451,-117.601961
1157,93543,10,34.481108,-117.982006
1158,90032,9,34.078195,-118.185501
1159,90049,9,34.09254,-118.491064
1160,90212,9,34.06221,-118.401966
1161,91007,9,34.128284,-118.047732
1162,91764,9,34.074087,-117.605618
1163,92281,9,33.051757,-115.608752
1164,92595,9,33.617844,-117.259304
1165,92694,9,33.547238,-117.623761
1166,92780,9,33.734005,-117.819163
1167,93648,9,36.620634,-119.520731
1168,90025,8,34.045421,-118.445873
1169,90222,8,33.912246,-118.236773
1170,90501,8,33.833744,-118.314022
1171,90710,8,33.799904,-118.298661
1172,90713,8,33.847989,-118.112601
1173,91201,8,34.17051,-118.289463
1174,91343,8,34.237912,-118.482306
1175,92243,8,32.770197,-115.59859
1176,92270,8,33.768584,-116.429988
1177,92504,8,33.903134,-117.398044
1178,92532,8,33.692673,-117.302957
1179,92603,8,33.624456,-117.781423
1180,92612,8,33.65844,-117.826009
1181,92630,8,33.645736,-117.685503
1182,92843,8,33.763905,-117.931382
1183,93041,8,34.106896,-119.099535
1184,93212,8,36.042151,-119.5277
1185,93312,8,35.393478,-119.12046
1186,90504,7,33.867257,-118.330794
1187,91423,7,34.148617,-118.433298
1188,91752,7,33.996484,-117.531269
1189,92241,7,33.842584,-116.2929
1190,92284,7,34.185894,-116.432416
1191,92602,7,33.754048,-117.752273
1192,92625,7,33.601966,-117.864254
1193,92866,7,33.784615,-117.844774
1194,92868,7,33.788145,-117.87655
1195,93030,7,34.205247,-119.174092
1196,93103,7,34.438773,-119.678841
1197,93433,7,35.120888,-120.619664
1198,93615,7,36.503322,-119.286328
1199,90031,6,34.085784,-118.206666
1200,90036,6,34.07041,-118.350411
1201,90056,6,33.988047,-118.370361
1202,90403,6,34.030755,-118.492101
1203,90503,6,33.840398,-118.353715
1204,90604,6,33.927691,-118.013828
1205,90703,6,33.867743,-118.069472
1206,91316,6,34.160236,-118.515472
1207,91320,6,34.175969,-118.945127
1208,91360,6,34.212805,-118.882179
1209,91364,6,34.15404,-118.593153
1210,91504,6,34.204568,-118.326365
1211,91601,6,34.1692,-118.372498
1212,91755,6,34.050965,-118.114394
1213,91765,6,33.98627,-117.821282
1214,91775,6,34.115273,-118.088266
1215,92354,6,34.051177,-117.248563
1216,92377,6,34.157763,-117.405966
1217,92627,6,33.647763,-117.919761
1218,92657,6,33.595088,-117.829038
1219,93250,6,35.665082,-119.197958
1220,93405,6,35.296958,-120.733134
1221,93420,6,35.176043,-120.476694
1222,93444,6,35.037198,-120.504593
1223,93654,6,36.658709,-119.401274
1224,90040,5,33.994523,-118.149952
1225,90041,5,34.137412,-118.207607
1226,90245,5,33.91714,-118.404267
1227,90603,5,33.945555,-117.990719
1228,90717,5,33.793809,-118.31717
1229,91106,5,34.139402,-118.128658
1230,91702,5,34.280333,-117.866141
1231,91731,5,34.078573,-118.043456
1232,91737,5,34.152583,-117.577707
1233,91740,5,34.119367,-117.855054
1234,91750,5,34.18001,-117.773939
1235,91754,5,34.052922,-118.143465
1236,91770,5,34.065493,-118.084529
1237,91780,5,34.102077,-118.057754
1238,91784,5,34.141146,-117.655583
1239,91803,5,34.074736,-118.145959
1240,92252,5,34.168333,-116.288431
1241,92337,5,34.049809,-117.470613
1242,92604,5,33.690715,-117.789224
1243,92647,5,33.723228,-118.008692
1244,92691,5,33.611945,-117.665867
1245,92706,5,33.765301,-117.881976
1246,92840,5,33.787165,-117.931889
1247,93035,5,34.181971,-119.224985
1248,93535,5,34.713656,-117.86466
1249,93551,5,34.604105,-118.239213
1250,90247,4,33.890853,-118.297967
1251,90272,4,34.08746,-118.544232
1252,90602,4,33.972782,-118.022066
1253,91024,4,34.168771,-118.050216
1254,91030,4,34.108957,-118.156615
1255,91356,4,34.155097,-118.547553
1256,91436,4,34.149588,-118.489708
1257,91745,4,33.999005,-117.972146
1258,91791,4,34.061624,-117.892235
1259,92260,4,33.708012,-116.403627
1260,92264,4,33.708592,-116.497622
1261,92401,4,34.104794,-117.29215
1262,92590,4,33.482811,-117.226126
1263,92614,4,33.680302,-117.833295
1264,92679,4,33.606695,-117.60436
1265,92801,4,33.844983,-117.952151
1266,92865,4,33.826393,-117.851307
1267,93445,4,35.044396,-120.620199
1268,90004,3,34.076198,-118.310722
1269,90012,3,34.065975,-118.238642
1270,90064,3,34.037251,-118.423573
1271,90715,3,33.841027,-118.079141
1272,91020,3,34.211341,-118.230652
1273,91040,3,34.261962,-118.336078
1274,91206,3,34.160359,-118.213769
1275,91214,3,34.236302,-118.249185
1276,91502,3,34.176817,-118.309323
1277,91602,3,34.150818,-118.368159
1278,91722,3,34.097345,-117.906736
1279,91744,3,34.031415,-117.93647
1280,91748,3,33.974883,-117.900676
1281,91768,3,34.063516,-117.790379
1282,91776,3,34.090776,-118.095091
1283,92346,3,34.126779,-117.183104
1284,92399,3,34.032301,-117.010574
1285,92551,3,33.88274,-117.224878
1286,92553,3,33.923381,-117.244837
1287,92610,3,33.696122,-117.67594
1288,93242,3,36.442077,-119.727734
1289,93446,3,35.662509,-120.749865
1290,93609,3,36.526597,-119.864103
1291,93656,3,36.450225,-119.934478
1292,90015,2,34.039378,-118.2663
1293,90038,2,34.088475,-118.325527
1294,90210,2,34.100517,-118.414712
1295,90232,2,34.019323,-118.391902
1296,90249,2,33.90139,-118.315697
1297,90254,2,33.864259,-118.399303
1298,90278,2,33.873215,-118.37036
1299,90638,2,33.902045,-118.008961
1300,91006,2,34.136258,-118.026704
1301,91010,2,34.141586,-117.957627
1302,91101,2,34.146671,-118.139455
