State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
Kansas,July,2021,218,100000,0.00218,KS
Kansas,June,2020,0,100000,0.00000,KS
Kansas,June,2021,0,100000,0.00000,KS
Kansas,March,2020,21,100000,0.00021,KS
Kansas,March,2021,0,100000,0.00000,KS
Kansas,May,2020,0,100000,0.00000,KS
Kansas,May,2021,0,100000,0.00000,KS
Kansas,November,2020,0,100000,0.00000,KS
Kansas,November,2021,3,100000,0.00003,KS
Kansas,October,2020,0,100000,0.00000,KS
Kansas,October,2021,127,100000,0.00127,KS
Kansas,September,2020,0,100000,0.00000,KS
Kansas,September,2021,113,100000,0.00113,KS
Kentucky,April,2020,0,700000,0.00000,KY
Kentucky,April,2021,1960,700000,0.01960,KY
Kentucky,August,2020,0,700000,0.00000,KY
Kentucky,December,2020,1189,700000,0.01189,KY
Kentucky,February,2020,14317,700000,0.14317,KY
Kentucky,February,2021,975,700000,0.00975,KY
Kentucky,January,2020,14123,700000,0.14123,KY
Kentucky,January,2021,1821,700000,0.01821,KY
Kentucky,July,2020,0,700000,0.00000,KY
Kentucky,June,2020,0,700000,0.00000,KY
Kentucky,June,2021,9175,700000,0.09175,KY
Kentucky,March,2020,6650,700000,0.06650,KY
Kentucky,March,2021,2920,700000,0.02920,KY
Kentucky,May,2020,0,700000,0.00000,KY
Kentucky,May,2021,2337,700000,0.02337,KY
Kentucky,November,2020,5,700000,0.00005,KY
Kentucky,October,2020,0,700000,0.00000,KY
Kentucky,September,2020,0,700000,0.00000,KY
Maine,April,2020,0,600000,0.00000,ME
Maine,August,2020,0,600000,0.00000,ME
Maine,December,2020,1,600000,0.00001,ME
Maine,February,2020,0,600000,0.00000,ME
Maine,January,2020,1,600000,0.00001,ME
Maine,July,2020,0,600000,0.00000,ME
Maine,June,2020,0,600000,0.00000,ME
Maine,March,2020,0,600000,0.00000,ME
Maine,May,2020,0,600000,0.00000,ME
Maine,November,2020,0,600000,0.00000,ME
Maine,October,2020,0,600000,0.00000,ME
Maine,September,2020,0,600000,0.00000,ME
Maryland,April,2020,0,900000,0.00000,MD
Maryland,April,2021,5678,800000,0.05678,MD
Maryland,August,2020,0,900000,0.00000,MD
Maryland,August,2021,6511,800000,0.06511,MD
Maryland,December,2020,91,800000,0.00091,MD
Maryland,December,2021,4115,800000,0.04115,MD
Maryland,February,2020,6043,900000,0.06043,MD
Maryland,February,2021,582,800000,0.00582,MD
Maryland,January,2020,6803,900000,0.06803,MD
Maryland,January,2021,490,800000,0.00490,MD
Maryland,July,2020,0,900000,0.00000,MD
Maryland,July,2021,5996,800000,0.05996,MD
Maryland,June,2020,0,900000,0.00000,MD
Maryland,June,2021,7421,800000,0.07421,MD
Maryland,March,2020,4193,900000,0.04193,MD
Maryland,March,2021,1252,800000,0.01252,MD
Maryland,May,2020,0,900000,0.00000,MD
Maryland,May,2021,6248,800000,0.06248,MD
