,State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
67,Connecticut,March,2020,6994,3565287,0.002,CT
68,Florida,March,2020,41427,21477737,0.0019,FL
69,Georgia,March,2020,0,10617423,0,GA
70,Illinois,March,2020,0,12671821,0,IL
71,Indiana,March,2020,7821,6732219,0.0012,IN
72,Iowa,March,2020,1051,3155070,0.0003,IA
73,Kentucky,March,2020,6214,4467673,0.0014,KY
74,Maine,March,2020,0,1344212,0,ME
75,Maryland,March,2020,4112,6045680,0.0007,MD
76,Massachusetts,March,2020,811,6892503,0.0001,MA
77,Michigan,March,2020,0,9986857,0,MI
78,Minnesota,March,2020,752,5639632,0.0001,MN
79,Missouri,March,2020,4171,6137428,0.0007,MO
80,New Hampshire,March,2020,77,1359711,0.0001,NH
81,New Mexico,March,2020,0,2096829,0,NM
82,New York,March,2020,6131,19453561,0.0003,NY
83,North Carolina,March,2020,10011,10488084,0.001,NC
84,North Dakota,March,2020,127,762062,0.0002,ND
85,Ohio,March,2020,0,11689100,0,OH
86,Oregon,March,2020,496,4217737,0.0001,OR
87,Pennsylvania,March,2020,0,12801989,0,PA
88,Rhode Island,March,2020,7,1059361,0,RI
89,South Carolina,March,2020,7594,5148714,0.0015,SC
90,South Dakota,March,2020,0,884659,0,SD
91,Utah,March,2020,99,3205958,0,UT
92,Vermont,March,2020,141,623989,0.0002,VT
93,Washington,March,2020,793,7614893,0.0001,WA
94,Washington D.C.,March,2020,1133,705749,0.0016,WA
95,Wisconsin,March,2020,0,5822434,0,WI
96,Arizona,April,2020,0,4903185,0,AZ
97,California,April,2020,0,39512223,0,CA
98,Colorado,April,2020,0,5758736,0,CO
99,Connecticut,April,2020,7,3565287,0,CT
100,Florida,April,2020,0,21477737,0,FL
101,Georgia,April,2020,0,10617423,0,GA
102,Illinois,April,2020,0,12671821,0,IL
103,Indiana,April,2020,0,6732219,0,IN
104,Iowa,April,2020,0,3155070,0,IA
105,Kentucky,April,2020,0,4467673,0,KY
106,Maine,April,2020,0,1344212,0,ME
107,Maryland,April,2020,0,6045680,0,MD
108,Massachusetts,April,2020,0,6892503,0,MA
109,Michigan,April,2020,3489,9986857,0.0003,MI
110,Minnesota,April,2020,0,5639632,0,MN
111,Missouri,April,2020,0,6137428,0,MO
112,New Hampshire,April,2020,0,1359711,0,NH
113,New Mexico,April,2020,0,2096829,0,NM
114,New York,April,2020,0,19453561,0,NY
115,North Carolina,April,2020,0,10488084,0,NC
116,North Dakota,April,2020,0,762062,0,ND
117,Ohio,April,2020,0,11689100,0,OH
118,Oregon,April,2020,0,4217737,0,OR
119,Pennsylvania,April,2020,0,12801989,0,PA
120,Rhode Island,April,2020,0,1059361,0,RI
121,South Carolina,April,2020,0,5148714,0,SC
122,South Dakota,April,2020,0,884659,0,SD
123,Utah,April,2020,0,3205958,0,UT
124,Vermont,April,2020,0,623989,0,VT
125,Washington,April,2020,0,7614893,0,WA
126,Washington D.C.,April,2020,0,705749,0,WA
127,Wisconsin,April,2020,0,5822434,0,WI
128,Arizona,May,2020,0,4903185,0,AZ
129,California,May,2020,0,39512223,0,CA
130,Colorado,May,2020,1,5758736,0,CO
131,Connecticut,May,2020,0,3565287,0,CT
132,Florida,May,2020,0,21477737,0,FL
133,Georgia,May,2020,0,10617423,0,GA
134,Illinois,May,2020,0,12671821,0,IL
135,Indiana,May,2020,71,6732219,0,IN
136,Iowa,May,2020,0,3155070,0,IA
137,Kentucky,May,2020,0,4467673,0,KY
138,Maine,May,2020,0,1344212,0,ME
139,Maryland,May,2020,0,6045680,0,MD
140,Massachusetts,May,2020,0,6892503,0,MA
141,Michigan,May,2020,2545,9986857,0.0003,MI
142,Minnesota,May,2020,0,5639632,0,MN
143,Missouri,May,2020,0,6137428,0,MO
144,New Hampshire,May,2020,0,1359711,0,NH
145,New Mexico,May,2020,0,2096829,0,NM
146,New York,May,2020,0,19453561,0,NY
147,North Carolina,May,2020,0,10488084,0,NC
148,North Dakota,May,2020,0,762062,0,ND
149,Ohio,May,2020,0,11689100,0,OH
150,Oregon,May,2020,0,4217737,0,OR
151,Pennsylvania,May,2020,0,12801989,0,PA
152,Rhode Island,May,2020,0,1059361,0,RI
153,South Carolina,May,2020,0,5148714,0,SC
154,South Dakota,May,2020,0,884659,0,SD
155,Utah,May,2020,0,3205958,0,UT
156,Vermont,May,2020,0,623989,0,VT
157,Washington,May,2020,0,7614893,0,WA
158,Washington D.C.,May,2020,0,705749,0,WA
159,Wisconsin,May,2020,0,5822434,0,WI
160,Arizona,June,2020,0,4903185,0,AZ
161,California,June,2020,0,39512223,0,CA
162,Colorado,June,2020,0,5758736,0,CO
163,Connecticut,June,2020,0,3565287,0,CT
164,Florida,June,2020,0,21477737,0,FL
165,Georgia,June,2020,0,10617423,0,GA
166,Illinois,June,2020,0,12671821,0,IL
167,Indiana,June,2020,137,6732219,0,IN
168,Iowa,June,2020,0,3155070,0,IA
169,Kentucky,June,2020,0,4467673,0,KY
170,Maine,June,2020,0,1344212,0,ME
171,Maryland,June,2020,0,6045680,0,MD
172,Massachusetts,June,2020,0,6892503,0,MA
173,Michigan,June,2020,2176,9986857,0.0002,MI
174,Minnesota,June,2020,0,5639632,0,MN
175,Missouri,June,2020,0,6137428,0,MO
176,New Hampshire,June,2020,0,1359711,0,NH
177,New Mexico,June,2020,0,2096829,0,NM
178,New York,June,2020,0,19453561,0,NY
179,North Carolina,June,2020,0,10488084,0,NC
180,North Dakota,June,2020,0,762062,0,ND
181,Ohio,June,2020,0,11689100,0,OH
182,Oregon,June,2020,0,4217737,0,OR
183,Pennsylvania,June,2020,0,12801989,0,PA
184,Rhode Island,June,2020,0,1059361,0,RI
185,South Carolina,June,2020,0,5148714,0,SC
186,South Dakota,June,2020,0,884659,0,SD
187,Utah,June,2020,0,3205958,0,UT
188,Vermont,June,2020,0,623989,0,VT
189,Washington,June,2020,0,7614893,0,WA
190,Washington D.C.,June,2020,0,705749,0,WA
191,Wisconsin,June,2020,0,5822434,0,WI
192,Arizona,July,2020,0,4903185,0,AZ
193,California,July,2020,0,39512223,0,CA
194,Colorado,July,2020,2,5758736,0,CO
195,Connecticut,July,2020,0,3565287,0,CT
196,Florida,July,2020,0,21477737,0,FL
197,Georgia,July,2020,13640,10617423,0.0013,GA
198,Illinois,July,2020,0,12671821,0,IL
199,Indiana,July,2020,203,6732219,0,IN
200,Iowa,July,2020,2223,3155070,0.0007,IA
201,Kentucky,July,2020,0,4467673,0,KY
202,Maine,July,2020,0,1344212,0,ME
203,Maryland,July,2020,0,6045680,0,MD
204,Massachusetts,July,2020,0,6892503,0,MA
205,Michigan,July,2020,1919,9986857,0.0002,MI
206,Minnesota,July,2020,0,5639632,0,MN
207,Missouri,July,2020,3375,6137428,0.0005,MO
208,New Hampshire,July,2020,0,1359711,0,NH
209,New Mexico,July,2020,0,2096829,0,NM
210,New York,July,2020,0,19453561,0,NY
211,North Carolina,July,2020,0,10488084,0,NC
212,North Dakota,July,2020,10,762062,0,ND
213,Ohio,July,2020,0,11689100,0,OH
214,Oregon,July,2020,0,4217737,0,OR
215,Pennsylvania,July,2020,0,12801989,0,PA
216,Rhode Island,July,2020,0,1059361,0,RI
217,South Carolina,July,2020,36,5148714,0,SC
218,South Dakota,July,2020,0,884659,0,SD
219,Utah,July,2020,0,3205958,0,UT
220,Vermont,July,2020,0,623989,0,VT
221,Washington,July,2020,0,7614893,0,WA
222,Washington D.C.,July,2020,0,705749,0,WA
223,Wisconsin,July,2020,0,5822434,0,WI
224,Arizona,August,2020,0,4903185,0,AZ
225,California,August,2020,0,39512223,0,CA
226,Colorado,August,2020,1,5758736,0,CO
227,Connecticut,August,2020,0,3565287,0,CT
228,Florida,August,2020,0,21477737,0,FL
229,Georgia,August,2020,22210,10617423,0.0021,GA
230,Illinois,August,2020,5,12671821,0,IL
231,Indiana,August,2020,2531,6732219,0.0004,IN
232,Iowa,August,2020,1678,3155070,0.0005,IA
233,Kentucky,August,2020,0,4467673,0,KY
234,Maine,August,2020,0,1344212,0,ME
235,Maryland,August,2020,0,6045680,0,MD
236,Massachusetts,August,2020,0,6892503,0,MA
237,Michigan,August,2020,1944,9986857,0.0002,MI
238,Minnesota,August,2020,0,5639632,0,MN
239,Missouri,August,2020,11547,6137428,0.0019,MO
240,New Hampshire,August,2020,0,1359711,0,NH
241,New Mexico,August,2020,0,2096829,0,NM
242,New York,August,2020,0,19453561,0,NY
243,North Carolina,August,2020,0,10488084,0,NC
244,North Dakota,August,2020,309,762062,0.0004,ND
245,Ohio,August,2020,1406,11689100,0.0001,OH
246,Oregon,August,2020,0,4217737,0,OR
247,Pennsylvania,August,2020,0,12801989,0,PA
248,Rhode Island,August,2020,0,1059361,0,RI
249,South Carolina,August,2020,56,5148714,0,SC
250,South Dakota,August,2020,0,884659,0,SD
251,Utah,August,2020,252,3205958,0.0001,UT
252,Vermont,August,2020,0,623989,0,VT
253,Washington,August,2020,0,7614893,0,WA
254,Washington D.C.,August,2020,0,705749,0,WA
255,Wisconsin,August,2020,0,5822434,0,WI
256,Arizona,September,2020,0,4903185,0,AZ
257,California,September,2020,0,39512223,0,CA
258,Colorado,September,2020,358,5758736,0.0001,CO
259,Connecticut,September,2020,0,3565287,0,CT
260,Florida,September,2020,4848,21477737,0.0002,FL
261,Georgia,September,2020,16727,10617423,0.0016,GA
262,Illinois,September,2020,16121,12671821,0.0013,IL
263,Indiana,September,2020,15502,6732219,0.0023,IN
264,Iowa,September,2020,3020,3155070,0.001,IA
265,Kentucky,September,2020,0,4467673,0,KY
266,Maine,September,2020,0,1344212,0,ME
267,Maryland,September,2020,0,6045680,0,MD
268,Massachusetts,September,2020,0,6892503,0,MA
269,Michigan,September,2020,1534,9986857,0.0002,MI
270,Minnesota,September,2020,0,5639632,0,MN
271,Missouri,September,2020,14362,6137428,0.0023,MO
272,New Hampshire,September,2020,0,1359711,0,NH
273,New Mexico,September,2020,0,2096829,0,NM
274,New York,September,2020,0,19453561,0,NY
275,North Carolina,September,2020,0,10488084,0,NC
276,North Dakota,September,2020,348,762062,0.0005,ND
277,Ohio,September,2020,16088,11689100,0.0014,OH
278,Oregon,September,2020,0,4217737,0,OR
279,Pennsylvania,September,2020,0,12801989,0,PA
280,Rhode Island,September,2020,0,1059361,0,RI
281,South Carolina,September,2020,934,5148714,0.0002,SC
282,South Dakota,September,2020,1516,884659,0.0017,SD
283,Utah,September,2020,183,3205958,0.0001,UT
284,Vermont,September,2020,1,623989,0,VT
285,Washington,September,2020,0,7614893,0,WA
286,Washington D.C.,September,2020,0,705749,0,WA
287,Wisconsin,September,2020,0,5822434,0,WI
288,Arizona,October,2020,0,4903185,0,AZ
289,California,October,2020,0,39512223,0,CA
290,Colorado,October,2020,1280,5758736,0.0002,CO
291,Connecticut,October,2020,0,3565287,0,CT
292,Florida,October,2020,102831,21477737,0.0048,FL
293,Georgia,October,2020,18513,10617423,0.0017,GA
294,Illinois,October,2020,46126,12671821,0.0036,IL
295,Indiana,October,2020,20222,6732219,0.003,IN
296,Iowa,October,2020,5427,3155070,0.0017,IA
297,Kentucky,October,2020,0,4467673,0,KY
298,Maine,October,2020,0,1344212,0,ME
299,Maryland,October,2020,0,6045680,0,MD
300,Massachusetts,October,2020,0,6892503,0,MA
301,Michigan,October,2020,2942,9986857,0.0003,MI
302,Minnesota,October,2020,0,5639632,0,MN
303,Missouri,October,2020,15080,6137428,0.0025,MO
304,New Hampshire,October,2020,24,1359711,0,NH
305,New Mexico,October,2020,0,2096829,0,NM
306,New York,October,2020,0,19453561,0,NY
307,North Carolina,October,2020,0,10488084,0,NC
308,North Dakota,October,2020,1185,762062,0.0016,ND
309,Ohio,October,2020,39029,11689100,0.0033,OH
310,Oregon,October,2020,0,4217737,0,OR
311,Pennsylvania,October,2020,0,12801989,0,PA
312,Rhode Island,October,2020,0,1059361,0,RI
313,South Carolina,October,2020,4458,5148714,0.0009,SC
314,South Dakota,October,2020,75,884659,0.0001,SD
315,Utah,October,2020,256,3205958,0.0001,UT
316,Vermont,October,2020,1,623989,0,VT
317,Washington,October,2020,0,7614893,0,WA
318,Washington D.C.,October,2020,3,705749,0,WA
319,Wisconsin,October,2020,0,5822434,0,WI
320,Arizona,November,2020,0,4903185,0,AZ
