State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate
Maryland,July,2020,0,6045680,0.0000
Massachusetts,July,2020,0,6892503,0.0000
Michigan,July,2020,1919,9986857,0.0002
Minnesota,July,2020,0,5639632,0.0000
Missouri,July,2020,3375,6137428,0.0005
New Hampshire,July,2020,0,1359711,0.0000
New Mexico,July,2020,0,2096829,0.0000
New York,July,2020,0,19453561,0.0000
North Carolina,July,2020,0,10488084,0.0000
North Dakota,July,2020,10,762062,0.0000
Ohio,July,2020,0,11689100,0.0000
Oregon,July,2020,0,4217737,0.0000
Pennsylvania,July,2020,0,12801989,0.0000
Rhode Island,July,2020,0,1059361,0.0000
South Carolina,July,2020,36,5148714,0.0000
South Dakota,July,2020,0,884659,0.0000
Utah,July,2020,0,3205958,0.0000
Vermont,July,2020,0,623989,0.0000
Washington,July,2020,0,7614893,0.0000
Washington D.C.,July,2020,0,705749,0.0000
Wisconsin,July,2020,0,5822434,0.0000
Arizona,August,2020,0,4903185,0.0000
California,August,2020,0,39512223,0.0000
Colorado,August,2020,1,5758736,0.0000
Connecticut,August,2020,0,3565287,0.0000
Florida,August,2020,0,21477737,0.0000
Georgia,August,2020,22210,10617423,0.0021
Illinois,August,2020,5,12671821,0.0000
Indiana,August,2020,2531,6732219,0.0004
Iowa,August,2020,1678,3155070,0.0005
Kentucky,August,2020,0,4467673,0.0000
Maine,August,2020,0,1344212,0.0000
Maryland,August,2020,0,6045680,0.0000
Massachusetts,August,2020,0,6892503,0.0000
Michigan,August,2020,1944,9986857,0.0002
Minnesota,August,2020,0,5639632,0.0000
Missouri,August,2020,11547,6137428,0.0019
New Hampshire,August,2020,0,1359711,0.0000
New Mexico,August,2020,0,2096829,0.0000
New York,August,2020,0,19453561,0.0000
North Carolina,August,2020,0,10488084,0.0000
North Dakota,August,2020,309,762062,0.0004
Ohio,August,2020,1406,11689100,0.0001
Oregon,August,2020,0,4217737,0.0000
Pennsylvania,August,2020,0,12801989,0.0000
Rhode Island,August,2020,0,1059361,0.0000
South Carolina,August,2020,56,5148714,0.0000
South Dakota,August,2020,0,884659,0.0000
Utah,August,2020,252,3205958,0.0001
Vermont,August,2020,0,623989,0.0000
Washington,August,2020,0,7614893,0.0000
Washington D.C.,August,2020,0,705749,0.0000
Wisconsin,August,2020,0,5822434,0.0000
Arizona,September,2020,0,4903185,0.0000
California,September,2020,0,39512223,0.0000
Colorado,September,2020,358,5758736,0.0001
Connecticut,September,2020,0,3565287,0.0000
Florida,September,2020,4848,21477737,0.0002
Georgia,September,2020,16727,10617423,0.0016
Illinois,September,2020,16121,12671821,0.0013
Indiana,September,2020,15502,6732219,0.0023
Iowa,September,2020,3020,3155070,0.0010
Kentucky,September,2020,0,4467673,0.0000
Maine,September,2020,0,1344212,0.0000
Maryland,September,2020,0,6045680,0.0000
Massachusetts,September,2020,0,6892503,0.0000
Michigan,September,2020,1534,9986857,0.0002
Minnesota,September,2020,0,5639632,0.0000
Missouri,September,2020,14362,6137428,0.0023
New Hampshire,September,2020,0,1359711,0.0000
New Mexico,September,2020,0,2096829,0.0000
New York,September,2020,0,19453561,0.0000
North Carolina,September,2020,0,10488084,0.0000
North Dakota,September,2020,348,762062,0.0005
Ohio,September,2020,16088,11689100,0.0014
Oregon,September,2020,0,4217737,0.0000
Pennsylvania,September,2020,0,12801989,0.0000
Rhode Island,September,2020,0,1059361,0.0000
South Carolina,September,2020,934,5148714,0.0002
South Dakota,September,2020,1516,884659,0.0017
Utah,September,2020,183,3205958,0.0001
Vermont,September,2020,1,623989,0.0000
Washington,September,2020,0,7614893,0.0000
Washington D.C.,September,2020,0,705749,0.0000
Wisconsin,September,2020,0,5822434,0.0000
Arizona,October,2020,0,4903185,0.0000
California,October,2020,0,39512223,0.0000
Colorado,October,2020,1280,5758736,0.0002
Connecticut,October,2020,0,3565287,0.0000
Florida,October,2020,102831,21477737,0.0048
Georgia,October,2020,18513,10617423,0.0017
Illinois,October,2020,46126,12671821,0.0036
Indiana,October,2020,20222,6732219,0.0030
Iowa,October,2020,5427,3155070,0.0017
Kentucky,October,2020,0,4467673,0.0000
Maine,October,2020,0,1344212,0.0000
Maryland,October,2020,0,6045680,0.0000
Massachusetts,October,2020,0,6892503,0.0000
Michigan,October,2020,2942,9986857,0.0003
Minnesota,October,2020,0,5639632,0.0000
Missouri,October,2020,15080,6137428,0.0025
New Hampshire,October,2020,24,1359711,0.0000
New Mexico,October,2020,0,2096829,0.0000
New York,October,2020,0,19453561,0.0000
North Carolina,October,2020,0,10488084,0.0000
North Dakota,October,2020,1185,762062,0.0016
Ohio,October,2020,39029,11689100,0.0033
Oregon,October,2020,0,4217737,0.0000
Pennsylvania,October,2020,0,12801989,0.0000
Rhode Island,October,2020,0,1059361,0.0000
South Carolina,October,2020,4458,5148714,0.0009
South Dakota,October,2020,75,884659,0.0001
Utah,October,2020,256,3205958,0.0001
Vermont,October,2020,1,623989,0.0000
Washington,October,2020,0,7614893,0.0000
Washington D.C.,October,2020,3,705749,0.0000
Wisconsin,October,2020,0,5822434,0.0000
Arizona,November,2020,0,4903185,0.0000
California,November,2020,0,39512223,0.0000
Colorado,November,2020,734,5758736,0.0001
Connecticut,November,2020,0,3565287,0.0000
Florida,November,2020,103703,21477737,0.0048
Georgia,November,2020,15897,10617423,0.0015
Illinois,November,2020,11017,12671821,0.0009
Indiana,November,2020,14185,6732219,0.0021
Iowa,November,2020,637,3155070,0.0002
Kentucky,November,2020,5,4467673,0.0000
Maine,November,2020,0,1344212,0.0000
Maryland,November,2020,0,6045680,0.0000
Massachusetts,November,2020,0,6892503,0.0000
Michigan,November,2020,2979,9986857,0.0003
Minnesota,November,2020,0,5639632,0.0000
Missouri,November,2020,6559,6137428,0.0011
New Hampshire,November,2020,143,1359711,0.0001
New Mexico,November,2020,0,2096829,0.0000
New York,November,2020,0,19453561,0.0000
North Carolina,November,2020,16966,10488084,0.0016
North Dakota,November,2020,322,762062,0.0004
Ohio,November,2020,19327,11689100,0.0017
Oregon,November,2020,0,4217737,0.0000
Pennsylvania,November,2020,0,12801989,0.0000
Rhode Island,November,2020,0,1059361,0.0000
South Carolina,November,2020,4744,5148714,0.0009
South Dakota,November,2020,1,884659,0.0000
Utah,November,2020,202,3205958,0.0001
Vermont,November,2020,250,623989,0.0004
Washington,November,2020,0,7614893,0.0000
Washington D.C.,November,2020,6,705749,0.0000
Wisconsin,November,2020,0,5822434,0.0000
Arizona,December,2020,0,4903185,0.0000
California,December,2020,0,39512223,0.0000
Colorado,December,2020,452,5758736,0.0001
Connecticut,December,2020,0,3565287,0.0000
Florida,December,2020,120808,21477737,0.0056
Georgia,December,2020,16343,10617423,0.0015
Illinois,December,2020,8,12671821,0.0000
Indiana,December,2020,12945,6732219,0.0019
Iowa,December,2020,354,3155070,0.0001
Kentucky,December,2020,1182,4467673,0.0003
Maine,December,2020,1,1344212,0.0000
Maryland,December,2020,0,6045680,0.0000
Massachusetts,December,2020,0,6892503,0.0000
Michigan,December,2020,2703,9986857,0.0003
Minnesota,December,2020,0,5639632,0.0000
Missouri,December,2020,1178,6137428,0.0002
New Hampshire,December,2020,38,1359711,0.0000
New Mexico,December,2020,0,2096829,0.0000
New York,December,2020,0,19453561,0.0000
North Carolina,December,2020,11878,10488084,0.0011
North Dakota,December,2020,226,762062,0.0003
Ohio,December,2020,22437,11689100,0.0019
Oregon,December,2020,0,4217737,0.0000
Pennsylvania,December,2020,97,12801989,0.0000
Rhode Island,December,2020,0,1059361,0.0000
South Carolina,December,2020,10565,5148714,0.0021
South Dakota,December,2020,1017,884659,0.0011
Utah,December,2020,130,3205958,0.0000
Vermont,December,2020,37,623989,0.0001
Washington,December,2020,0,7614893,0.0000
Washington D.C.,December,2020,0,705749,0.0000
Wisconsin,December,2020,0,5822434,0.0000
Arizona,January,2021,2,4903185,0.0000
California,January,2021,0,39512223,0.0000
Colorado,January,2021,682,5758736,0.0001
Connecticut,January,2021,0,3565287,0.0000
Florida,January,2021,94415,21477737,0.0044
Georgia,January,2021,15233,10617423,0.0014
Illinois,January,2021,13,12671821,0.0000
Indiana,January,2021,10033,6732219,0.0015
Iowa,January,2021,360,3155070,0.0001
Kentucky,January,2021,1772,4467673,0.0004
Maine,January,2021,0,1344212,0.0000
Maryland,January,2021,490,6045680,0.0001
Massachusetts,January,2021,0,6892503,0.0000
Michigan,January,2021,3377,9986857,0.0003
Minnesota,January,2021,0,5639632,0.0000
Missouri,January,2021,839,6137428,0.0001
New Hampshire,January,2021,99,1359711,0.0001
New Mexico,January,2021,0,2096829,0.0000
New York,January,2021,0,19453561,0.0000
North Carolina,January,2021,16561,10488084,0.0016
North Dakota,January,2021,347,762062,0.0005
Ohio,January,2021,17859,11689100,0.0015
Oregon,January,2021,0,4217737,0.0000
Pennsylvania,January,2021,1921,12801989,0.0002
Rhode Island,January,2021,0,1059361,0.0000
South Carolina,January,2021,3285,5148714,0.0006
South Dakota,January,2021,21,884659,0.0000
Utah,January,2021,201,3205958,0.0001
Vermont,January,2021,0,623989,0.0000
Washington,January,2021,0,7614893,0.0000
Washington D.C.,January,2021,0,705749,0.0000
Wisconsin,January,2021,0,5822434,0.0000
Arizona,February,2021,6287,4903185,0.0013
California,February,2021,0,39512223,0.0000
Colorado,February,2021,739,5758736,0.0001
Connecticut,February,2021,0,3565287,0.0000
Florida,February,2021,87445,21477737,0.0041
Georgia,February,2021,16858,10617423,0.0016
Illinois,February,2021,7,12671821,0.0000
Indiana,February,2021,7233,6732219,0.0011
Iowa,February,2021,346,3155070,0.0001
Kentucky,February,2021,799,4467673,0.0002
Maine,February,2021,0,1344212,0.0000
Maryland,February,2021,582,6045680,0.0001
Massachusetts,February,2021,0,6892503,0.0000
Michigan,February,2021,4384,9986857,0.0004
Minnesota,February,2021,0,5639632,0.0000
Missouri,February,2021,1161,6137428,0.0002
New Hampshire,February,2021,34,1359711,0.0000
New Mexico,February,2021,0,2096829,0.0000
New York,February,2021,0,19453561,0.0000
North Carolina,February,2021,15069,10488084,0.0014
North Dakota,February,2021,206,762062,0.0003
Ohio,February,2021,9800,11689100,0.0008
Oregon,February,2021,0,4217737,0.0000
Pennsylvania,February,2021,527,12801989,0.0000
Rhode Island,February,2021,0,1059361,0.0000
South Carolina,February,2021,3364,5148714,0.0007
South Dakota,February,2021,3,884659,0.0000
Utah,February,2021,186,3205958,0.0001
Vermont,February,2021,0,623989,0.0000
Washington,February,2021,0,7614893,0.0000
Washington D.C.,February,2021,0,705749,0.0000
Wisconsin,February,2021,0,5822434,0.0000
Arizona,March,2021,6574,4903185,0.0013
California,March,2021,0,39512223,0.0000
Colorado,March,2021,991,5758736,0.0002
Connecticut,March,2021,0,3565287,0.0000
Florida,March,2021,90581,21477737,0.0042
Georgia,March,2021,17965,10617423,0.0017
