State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate
Maryland,December,2020,91,800000,0.00091
Maryland,December,2021,4115,800000,0.04115
Maryland,February,2020,6043,900000,0.06043
Maryland,February,2021,582,800000,0.00582
Maryland,January,2020,6803,900000,0.06803
Maryland,January,2021,490,800000,0.0049
Maryland,July,2020,0,900000,0
Maryland,July,2021,5996,800000,0.05996
Maryland,June,2020,0,900000,0
Maryland,June,2021,7421,800000,0.07421
Maryland,March,2020,4193,900000,0.04193
Maryland,March,2021,1252,800000,0.01252
Maryland,May,2020,0,900000,0
Maryland,May,2021,6248,800000,0.06248
Maryland,November,2020,116,800000,0.00116
Maryland,November,2021,5159,800000,0.05159
Maryland,October,2020,189,800000,0.00189
Maryland,October,2021,6826,800000,0.06826
Maryland,September,2020,0,900000,0
Maryland,September,2021,5754,800000,0.05754
Massachusetts,April,2020,0,1200000,0
Massachusetts,April,2021,0,1200000,0
Massachusetts,August,2020,0,1200000,0
Massachusetts,August,2021,6408,1200000,0.06408
Massachusetts,December,2020,0,1200000,0
Massachusetts,December,2021,926,1200000,0.00926
Massachusetts,February,2020,1943,1200000,0.01943
Massachusetts,February,2021,0,1200000,0
Massachusetts,January,2020,1791,1200000,0.01791
Massachusetts,January,2021,0,1200000,0
Massachusetts,July,2020,0,1200000,0
Massachusetts,July,2021,3572,1200000,0.03572
Massachusetts,June,2020,0,1200000,0
Massachusetts,June,2021,0,1200000,0
Massachusetts,March,2020,935,1200000,0.00935
Massachusetts,March,2021,0,1200000,0
Massachusetts,May,2020,0,1200000,0
Massachusetts,May,2021,0,1200000,0
Massachusetts,November,2020,0,1200000,0
Massachusetts,November,2021,3242,1200000,0.03242
Massachusetts,October,2020,0,1200000,0
Massachusetts,October,2021,6436,1200000,0.06436
Massachusetts,September,2020,0,1200000,0
Massachusetts,September,2021,8613,1200000,0.08613
Massachusetts,April,2019,6211,3150607,1.7782
Massachusetts,April,2020,0,3197001,0
Massachusetts,April,2021,108,2883194,0.03582
Massachusetts,April,2022,2174,2897836,0.72931
Massachusetts,August,2019,7935,3148697,2.3964
Massachusetts,August,2020,0,3194031,0
Massachusetts,August,2021,4600,2877847,1.27814
Massachusetts,August,2022,3023,2325132,0.55423
Massachusetts,December,2019,448,3185888,0.19104
Massachusetts,December,2020,40,2877318,0.00953
Massachusetts,December,2021,602,2889207,0.21071
Massachusetts,February,2020,1188,3192252,0.4393
Massachusetts,February,2021,67,2883339,0.0199
Massachusetts,February,2022,559,2895109,0.26688
Massachusetts,January,2020,1066,3188509,0.4118
Massachusetts,January,2021,90,2880969,0.02689
Massachusetts,January,2022,486,2893258,0.25122
Massachusetts,July,2019,6821,3150104,2.47089
Massachusetts,July,2020,0,3195160,0
Massachusetts,July,2021,2491,2878323,0.49609
Massachusetts,July,2022,5434,2911340,1.32464
Massachusetts,June,2019,6838,3150205,2.0618
Massachusetts,June,2020,0,3197170,0
Massachusetts,June,2021,109,2881137,0.04662
Massachusetts,June,2022,3925,2903080,1.21894
Massachusetts,March,2019,1317,3151343,0.45282
Massachusetts,March,2020,620,3194817,0.22804
Massachusetts,March,2021,67,2883490,0.02402
Massachusetts,March,2022,769,2895079,0.28665
Massachusetts,May,2019,8593,3149750,2.97081
Massachusetts,May,2020,0,3197106,0
Massachusetts,May,2021,90,2882223,0.0361
Massachusetts,May,2022,4648,2901792,1.25828
Massachusetts,November,2019,1207,3177961,0.37692
Massachusetts,November,2020,64,2873924,0.01841
Massachusetts,November,2021,2398,2883637,0.55474
Massachusetts,October,2019,5563,3165264,1.71809
Massachusetts,October,2020,30,2868965,0.00706
Massachusetts,October,2021,4671,2877422,1.28978
Massachusetts,September,2019,9920,3155738,2.88143
Massachusetts,September,2020,10,3191297,0.02476
Massachusetts,September,2021,5626,2872640,1.67916
Michigan,April,2020,5752,500000,0.05752
Michigan,April,2021,12492,500000,0.12492
Michigan,August,2020,4396,500000,0.04396
Michigan,August,2021,20531,500000,0.20531
Michigan,December,2020,4395,500000,0.04395
Michigan,December,2021,16267,500000,0.16267
Michigan,February,2021,7304,500000,0.07304
Michigan,January,2021,5911,500000,0.05911
Michigan,July,2020,4067,500000,0.04067
Michigan,July,2021,19027,500000,0.19027
Michigan,June,2020,4116,500000,0.04116
Michigan,June,2021,18474,500000,0.18474
Michigan,March,2021,10193,500000,0.10193
Michigan,May,2020,4523,500000,0.04523
Michigan,May,2021,15301,500000,0.15301
Michigan,November,2020,5044,500000,0.05044
Michigan,November,2021,17724,500000,0.17724
Michigan,October,2020,5430,500000,0.0543
Michigan,October,2021,19647,500000,0.19647
Michigan,September,2020,3875,500000,0.03875
Michigan,September,2021,21346,500000,0.21346
Minnesota,April,2020,0,600000,0
Minnesota,April,2021,0,600000,0
Minnesota,August,2020,0,600000,0
Minnesota,August,2021,5093,600000,0.05093
Minnesota,December,2020,0,600000,0
Minnesota,December,2021,687,600000,0.00687
Minnesota,February,2020,1701,600000,0.01701
Minnesota,February,2021,0,600000,0
Minnesota,January,2020,1629,600000,0.01629
Minnesota,January,2021,0,600000,0
Minnesota,July,2020,0,600000,0
Minnesota,July,2021,0,600000,0
Minnesota,June,2020,0,600000,0
Minnesota,June,2021,0,600000,0
Minnesota,March,2020,1132,600000,0.01132
Minnesota,March,2021,0,600000,0
Minnesota,May,2020,0,600000,0
Minnesota,May,2021,0,600000,0
Minnesota,November,2020,0,600000,0
Minnesota,November,2021,1139,600000,0.01139
Minnesota,October,2020,0,600000,0
Minnesota,October,2021,1241,600000,0.01241
Minnesota,September,2020,0,600000,0
Minnesota,September,2021,4369,600000,0.04369
Missouri,April,2020,0,900000,0
Missouri,April,2021,10251,900000,0.10251
Missouri,August,2020,18849,900000,0.18849
Missouri,August,2021,17265,900000,0.17265
Missouri,December,2020,1705,900000,0.01705
Missouri,December,2021,5904,900000,0.05904
Missouri,February,2020,4116,900000,0.04116
Missouri,February,2021,1384,900000,0.01384
Missouri,January,2020,3641,900000,0.03641
Missouri,January,2021,1027,900000,0.01027
Missouri,July,2020,7457,900000,0.07457
Missouri,July,2021,12788,900000,0.12788
Missouri,June,2020,0,900000,0
Missouri,June,2021,14314,900000,0.14314
Missouri,March,2020,7643,900000,0.07643
Missouri,March,2021,8722,900000,0.08722
Missouri,May,2020,0,900000,0
Missouri,May,2021,19902,900000,0.19902
Missouri,November,2020,8234,900000,0.08234
Missouri,November,2021,5288,900000,0.05288
Missouri,October,2020,18630,900000,0.1863
Missouri,October,2021,18542,900000,0.18542
Missouri,September,2020,19711,900000,0.19711
Missouri,September,2021,20237,900000,0.20237
New Hampshire,April,2020,0,500000,0
New Hampshire,April,2021,1020,500000,0.0102
New Hampshire,August,2020,0,500000,0
New Hampshire,August,2021,1094,500000,0.01094
New Hampshire,December,2020,40,500000,0.0004
New Hampshire,February,2020,128,400000,0.00128
New Hampshire,February,2021,35,500000,0.00035
New Hampshire,January,2020,101,500000,0.00101
New Hampshire,January,2021,102,500000,0.00102
New Hampshire,July,2020,0,500000,0
New Hampshire,July,2021,988,500000,0.00988
New Hampshire,June,2020,0,500000,0
New Hampshire,June,2021,594,500000,0.00594
New Hampshire,March,2020,86,500000,0.00086
New Hampshire,March,2021,56,500000,0.00056
New Hampshire,May,2020,0,500000,0
New Hampshire,May,2021,1154,500000,0.01154
New Hampshire,November,2020,229,500000,0.00229
New Hampshire,November,2021,426,300000,0.00426
New Hampshire,October,2020,26,500000,0.00026
New Hampshire,October,2021,832,500000,0.00832
New Hampshire,September,2020,0,500000,0
New Hampshire,September,2021,1391,500000,0.01391
New Mexico,August,2021,3146,500000,0.03146
New Mexico,December,2021,2127,500000,0.02127
New Mexico,July,2021,200,100000,0.002
New Mexico,June,2021,133,100000,0.00133
New Mexico,May,2021,556,100000,0.00556
New Mexico,November,2021,2860,500000,0.0286
New Mexico,October,2021,3751,500000,0.03751
New Mexico,September,2021,5367,500000,0.05367
New York,April,2020,0,1000000,0
New York,April,2021,0,1000000,0
New York,August,2020,0,1000000,0
New York,August,2021,0,1000000,0
New York,December,2020,0,1000000,0
New York,December,2021,0,1000000,0
New York,February,2020,12436,900000,0.12436
New York,February,2021,0,1000000,0
New York,January,2020,11538,900000,0.11538
New York,January,2021,0,1000000,0
New York,July,2020,0,1000000,0
New York,July,2021,0,1000000,0
New York,June,2020,0,1000000,0
New York,June,2021,0,1000000,0
New York,March,2020,6891,900000,0.06891
New York,March,2021,0,1000000,0
New York,May,2020,0,1000000,0
New York,May,2021,0,1000000,0
New York,November,2020,0,1000000,0
New York,November,2021,0,1000000,0
New York,October,2020,0,1000000,0
New York,October,2021,0,1000000,0
New York,September,2020,0,1000000,0
New York,September,2021,0,1000000,0
North Carolina,April,2020,0,700000,0
North Carolina,April,2021,7,700000,0.00007
North Carolina,August,2020,0,700000,0
North Carolina,August,2021,12013,700000,0.12013
North Carolina,December,2020,11880,700000,0.1188
North Carolina,December,2021,2966,600000,0.02966
North Carolina,February,2020,22332,700000,0.22332
North Carolina,February,2021,15700,700000,0.157
North Carolina,January,2020,20929,700000,0.20929
North Carolina,January,2021,17327,700000,0.17327
North Carolina,July,2020,0,700000,0
North Carolina,July,2021,11099,700000,0.11099
North Carolina,June,2020,0,700000,0
North Carolina,June,2021,5881,600000,0.05881
North Carolina,March,2020,11123,700000,0.11123
North Carolina,March,2021,3,700000,0.00003
North Carolina,May,2020,0,700000,0
North Carolina,May,2021,411,700000,0.00411
North Carolina,November,2020,17568,700000,0.17568
North Carolina,November,2021,1099,700000,0.01099
North Carolina,October,2020,0,700000,0
North Carolina,October,2021,2303,700000,0.02303
North Carolina,September,2020,0,700000,0
North Carolina,September,2021,16350,700000,0.1635
North Dakota,April,2020,0,400000,0
North Dakota,April,2021,672,400000,0.00672
North Dakota,August,2020,309,400000,0.00309
North Dakota,August,2021,985,400000,0.00985
North Dakota,December,2020,226,400000,0.00226
North Dakota,December,2021,211,400000,0.00211
North Dakota,February,2020,237,400000,0.00237
North Dakota,February,2021,207,400000,0.00207
North Dakota,January,2020,286,400000,0.00286
North Dakota,January,2021,347,400000,0.00347
North Dakota,July,2020,10,400000,0.0001
North Dakota,July,2021,944,400000,0.00944
North Dakota,June,2020,0,400000,0
North Dakota,June,2021,1047,400000,0.01047
North Dakota,March,2020,128,400000,0.00128
North Dakota,March,2021,384,400000,0.00384
North Dakota,May,2020,0,400000,0
North Dakota,May,2021,850,400000,0.0085
North Dakota,November,2020,322,400000,0.00322
North Dakota,November,2021,490,400000,0.0049
North Dakota,October,2020,1193,400000,0.01193
North Dakota,October,2021,852,400000,0.00852
North Dakota,September,2020,350,400000,0.0035
North Dakota,September,2021,1083,400000,0.01083
Ohio,April,2015,53434,8900008,12.26476
Ohio,April,2016,48434,8927041,9.91282
Ohio,April,2017,36892,7130337,9.18373
Ohio,April,2018,39614,7138345,7.67488
