State,Year,Month,Number of Disconnections,Total Connections,Disconnection Rate,code
Iowa,2022,June,5485.0,1909836.0,0.0028719743475356,IA
Iowa,2022,March,2056.0,1914606.0,0.0010738501811861031,IA
Iowa,2022,May,4813.0,1910957.0,0.002518633333978734,IA
Kansas,2020,April,0.0,,,KS
Kansas,2020,August,0.0,,,KS
Kansas,2020,December,0.0,,,KS
Kansas,2020,February,0.0,,,KS
Kansas,2020,January,0.0,,,KS
Kansas,2020,July,0.0,,,KS
Kansas,2020,June,0.0,,,KS
Kansas,2020,March,21.0,,,KS
Kansas,2020,May,0.0,,,KS
Kansas,2020,November,0.0,,,KS
Kansas,2020,October,0.0,,,KS
Kansas,2020,September,0.0,,,KS
Kansas,2021,April,0.0,,,KS
Kansas,2021,August,250.0,,,KS
Kansas,2021,December,0.0,,,KS
Kansas,2021,February,0.0,,,KS
Kansas,2021,January,0.0,,,KS
Kansas,2021,July,218.0,,,KS
Kansas,2021,June,0.0,,,KS
Kansas,2021,March,0.0,,,KS
Kansas,2021,May,0.0,,,KS
Kansas,2021,November,3.0,,,KS
Kansas,2021,October,127.0,,,KS
Kansas,2021,September,113.0,,,KS
Kentucky,2020,April,0.0,,,KY
Kentucky,2020,August,0.0,,,KY
Kentucky,2020,December,1186.0,,,KY
Kentucky,2020,February,13962.0,,,KY
Kentucky,2020,January,13879.0,,,KY
Kentucky,2020,July,0.0,,,KY
Kentucky,2020,June,0.0,,,KY
Kentucky,2020,March,6531.0,,,KY
Kentucky,2020,May,0.0,,,KY
Kentucky,2020,November,5.0,,,KY
Kentucky,2020,October,0.0,,,KY
Kentucky,2020,September,0.0,,,KY
Kentucky,2021,April,1926.0,,,KY
Kentucky,2021,August,0.0,,,KY
Kentucky,2021,December,0.0,,,KY
Kentucky,2021,February,951.0,,,KY
Kentucky,2021,January,1772.0,,,KY
Kentucky,2021,July,0.0,,,KY
Kentucky,2021,June,9055.0,,,KY
Kentucky,2021,March,2769.0,,,KY
Kentucky,2021,May,2240.0,,,KY
Kentucky,2021,November,0.0,,,KY
Kentucky,2021,October,0.0,,,KY
Kentucky,2021,September,0.0,,,KY
Maine,1999,April,361.0,510435.0,0.0007072399032198027,ME
Maine,1999,August,2555.0,510435.0,0.005005534495087524,ME
Maine,1999,December,94.0,510435.0,0.00018415665069989324,ME
Maine,1999,February,231.0,510435.0,0.000452555173528461,ME
Maine,1999,January,169.0,510435.0,0.00033109014859874423,ME
Maine,1999,July,2501.0,510435.0,0.004899742376600351,ME
Maine,1999,June,3140.0,510435.0,0.006151615778698561,ME
Maine,1999,March,191.0,510435.0,0.00037419064131574047,ME
Maine,1999,May,2367.0,510435.0,0.004637221193687737,ME
Maine,1999,November,742.0,510435.0,0.0014536620725459656,ME
Maine,1999,October,1964.0,510435.0,0.003847698531644578,ME
Maine,1999,September,2357.0,510435.0,0.004617630060634557,ME
Maine,2000,April,602.0,517500.0,0.0011632850241545894,ME
Maine,2000,August,2317.0,517500.0,0.004477294685990338,ME
Maine,2000,December,32.0,517500.0,6.183574879227053e-05,ME
Maine,2000,February,252.0,517500.0,0.00048695652173913045,ME
Maine,2000,January,213.0,517500.0,0.0004115942028985507,ME
Maine,2000,July,2192.0,517500.0,0.004235748792270531,ME
Maine,2000,June,2430.0,517500.0,0.0046956521739130435,ME
Maine,2000,March,241.0,517500.0,0.00046570048309178743,ME
Maine,2000,May,3494.0,517500.0,0.006751690821256038,ME
Maine,2000,November,716.0,517500.0,0.0013835748792270532,ME
Maine,2000,October,2209.0,517500.0,0.004268599033816425,ME
Maine,2000,September,1826.0,517500.0,0.003528502415458937,ME
Maine,2001,April,542.0,523546.0,0.0010352480966333427,ME
Maine,2001,August,1946.0,523546.0,0.0037169608783182376,ME
Maine,2001,December,23.0,523546.0,4.393119229255882e-05,ME
Maine,2001,February,122.0,523546.0,0.00023302632433444244,ME
Maine,2001,January,85.0,523546.0,0.00016235440629858695,ME
Maine,2001,July,1968.0,523546.0,0.0037589820187719893,ME
Maine,2001,June,2192.0,523546.0,0.004186833630664737,ME
Maine,2001,March,58.0,523546.0,0.0001107830066508005,ME
Maine,2001,May,2963.0,523546.0,0.00565948359838486,ME
Maine,2001,November,770.0,523546.0,0.001470739915881317,ME
Maine,2001,October,1940.0,523546.0,0.003705500567285396,ME
Maine,2001,September,1452.0,523546.0,0.0027733952699476264,ME
Maine,2002,April,799.0,530438.0,0.0015063023388218794,ME
Maine,2002,August,1912.0,530438.0,0.003604568300159491,ME
Maine,2002,December,173.0,530438.0,0.00032614556272363593,ME
Maine,2002,February,81.0,530438.0,0.0001527039917954596,ME
Maine,2002,January,86.0,530438.0,0.00016213016412851267,ME
